väittämä,yliopisto,tilastovuosi,Vastaajamäärä (maisterit),Keskiarvo (maisterit),Pisteet (maisterit)
"3)  analyyttiset, systemaattisen ajattelun taidot",Taideyliopisto,2017,77,3.9,50
d)  Koulutus antoi riittävät valmiudet työelämään.,Taideyliopisto,2017,77,3.8,292
4)  tiedonhankintataidot,Taideyliopisto,2017,77,3.6,46
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Taideyliopisto,2017,76,4.3,324
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Taideyliopisto,2017,77,4.5,346
21)  kyky oppia ja omaksua uutta,Taideyliopisto,2017,77,4.7,61
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Taideyliopisto,2017,76,3.6,46
26)  itseohjautuvuus/oma-aloitteisuus,Taideyliopisto,2017,77,4.5,57
27)  yrittäjyystaidot,Taideyliopisto,2017,76,1.8,23
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Tampereen yliopisto,2017,705,4.5,3170
"3)  analyyttiset, systemaattisen ajattelun taidot",Tampereen yliopisto,2017,715,4.8,569
d)  Koulutus antoi riittävät valmiudet työelämään.,Tampereen yliopisto,2017,727,4,2937
4)  tiedonhankintataidot,Tampereen yliopisto,2017,714,4.8,566
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Tampereen yliopisto,2017,705,4.7,3282
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Tampereen yliopisto,2017,728,4.6,3335
21)  kyky oppia ja omaksua uutta,Tampereen yliopisto,2017,709,4.8,571
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Tampereen yliopisto,2017,709,2.9,346
26)  itseohjautuvuus/oma-aloitteisuus,Tampereen yliopisto,2017,712,4.6,540
27)  yrittäjyystaidot,Tampereen yliopisto,2017,709,1.9,219
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Turun yliopisto,2017,598,4.5,2709
"3)  analyyttiset, systemaattisen ajattelun taidot",Turun yliopisto,2017,595,4.6,457
d)  Koulutus antoi riittävät valmiudet työelämään.,Turun yliopisto,2017,612,3.8,2344
4)  tiedonhankintataidot,Turun yliopisto,2017,589,4.7,461
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Turun yliopisto,2017,596,4.7,2780
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Turun yliopisto,2017,613,4.6,2807
21)  kyky oppia ja omaksua uutta,Turun yliopisto,2017,591,4.7,465
23)  tieteiden- tai taiteidenvälisyys/moniammatillisissa ryhmissä toimiminen,Turun yliopisto,2017,592,3,297
26)  itseohjautuvuus/oma-aloitteisuus,Turun yliopisto,2017,596,4.5,444
27)  yrittäjyystaidot,Turun yliopisto,2017,596,1.8,183
a) Pystyn hyödyntämään yliopistossa oppimiani tietoja ja taitoja nykyisessä työssäni hyvin.,Vaasan yliopisto,2017,144,4.2,604
"3)  analyyttiset, systemaattisen ajattelun taidot",Vaasan yliopisto,2017,142,4.4,105
d)  Koulutus antoi riittävät valmiudet työelämään.,Vaasan yliopisto,2017,146,4.1,600
4)  tiedonhankintataidot,Vaasan yliopisto,2017,142,4.8,112
b) Työni vastaa vaativuustasoltaan hyvin yliopistollista koulutustani.,Vaasan yliopisto,2017,143,4.3,610
4.  Miten tyytyväinen olet kokonaisuudessaan vuonna 2012 suorittamaasi tutkintoon työurasi kannalta?,Vaasan yliopisto,2017,146,4.6,673
21)  kyky oppia ja omaksua uutta,Vaasan yliopisto,2017,140,4.7,108
