,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,yliopisto,tilastovuosi,JUFO-taso,lkm
43,43,43,43,4,Lapin yliopisto,2018,0,36
44,44,44,44,5,Lappeenrannan-Lahden teknillinen yliopisto,2018,0,65
45,45,45,45,6,Oulun yliopisto,2018,0,98
46,46,46,46,7,Svenska handelshögskolan,2018,0,12
47,47,47,47,8,Taideyliopisto,2018,0,9
48,48,48,48,9,Tampereen yliopisto,2018,0,191
49,49,49,49,10,Turun yliopisto,2018,0,237
50,50,50,50,11,Vaasan yliopisto,2018,0,26
51,51,51,51,12,Åbo Akademi,2018,0,75
52,52,52,52,169,Aalto-yliopisto,2015,1,1832
53,53,53,53,170,Helsingin yliopisto,2015,1,4143
54,54,54,54,171,Itä-Suomen yliopisto,2015,1,1406
55,55,55,55,172,Jyväskylän yliopisto,2015,1,1111
56,56,56,56,173,Lapin yliopisto,2015,1,187
57,57,57,57,174,Lappeenrannan-Lahden teknillinen yliopisto,2015,1,561
58,58,58,58,175,Oulun yliopisto,2015,1,1465
59,59,59,59,176,Svenska handelshögskolan,2015,1,121
60,60,60,60,177,Taideyliopisto,2015,1,32
61,61,61,61,178,Tampereen yliopisto,2015,1,2020
62,62,62,62,179,Turun yliopisto,2015,1,1830
63,63,63,63,180,Vaasan yliopisto,2015,1,167
64,64,64,64,181,Åbo Akademi,2015,1,537
65,65,65,65,117,Aalto-yliopisto,2016,1,1897
66,66,66,66,118,Helsingin yliopisto,2016,1,4214
67,67,67,67,119,Itä-Suomen yliopisto,2016,1,1410
68,68,68,68,120,Jyväskylän yliopisto,2016,1,1150
69,69,69,69,121,Lapin yliopisto,2016,1,210
70,70,70,70,122,Lappeenrannan-Lahden teknillinen yliopisto,2016,1,495
71,71,71,71,123,Oulun yliopisto,2016,1,1510
72,72,72,72,124,Svenska handelshögskolan,2016,1,94
73,73,73,73,125,Taideyliopisto,2016,1,33
74,74,74,74,126,Tampereen yliopisto,2016,1,2126
