,yliopisto,tilastovuosi,Tutkintotyyppi,lkm
78,Aalto-yliopisto,2016,Ylempi korkeakoulututkinto,1998
79,Helsingin yliopisto,2016,Ylempi korkeakoulututkinto,2685
80,Itä-Suomen yliopisto,2016,Ylempi korkeakoulututkinto,1419
81,Jyväskylän yliopisto,2016,Ylempi korkeakoulututkinto,1515
82,Lapin yliopisto,2016,Ylempi korkeakoulututkinto,420
83,Lappeenrannan–Lahden teknillinen yliopisto,2016,Ylempi korkeakoulututkinto,576
84,Oulun yliopisto,2016,Ylempi korkeakoulututkinto,1446
85,Svenska handelshögskolan,2016,Ylempi korkeakoulututkinto,258
86,Taideyliopisto,2016,Ylempi korkeakoulututkinto,267
87,Tampereen yliopisto,2016,Ylempi korkeakoulututkinto,1974
88,Turun yliopisto,2016,Ylempi korkeakoulututkinto,1701
89,Vaasan yliopisto,2016,Ylempi korkeakoulututkinto,540
90,Åbo Akademi,2016,Ylempi korkeakoulututkinto,522
91,Aalto-yliopisto,2017,Ylempi korkeakoulututkinto,1926
92,Helsingin yliopisto,2017,Ylempi korkeakoulututkinto,2604
93,Itä-Suomen yliopisto,2017,Ylempi korkeakoulututkinto,1383
94,Jyväskylän yliopisto,2017,Ylempi korkeakoulututkinto,1476
95,Lapin yliopisto,2017,Ylempi korkeakoulututkinto,441
96,Lappeenrannan–Lahden teknillinen yliopisto,2017,Ylempi korkeakoulututkinto,657
97,Oulun yliopisto,2017,Ylempi korkeakoulututkinto,1332
98,Svenska handelshögskolan,2017,Ylempi korkeakoulututkinto,279
99,Taideyliopisto,2017,Ylempi korkeakoulututkinto,228
100,Tampereen yliopisto,2017,Ylempi korkeakoulututkinto,1989
101,Turun yliopisto,2017,Ylempi korkeakoulututkinto,1557
102,Vaasan yliopisto,2017,Ylempi korkeakoulututkinto,537
103,Åbo Akademi,2017,Ylempi korkeakoulututkinto,501
104,Aalto-yliopisto,2018,Ylempi korkeakoulututkinto,1629
105,Helsingin yliopisto,2018,Ylempi korkeakoulututkinto,2505
106,Itä-Suomen yliopisto,2018,Ylempi korkeakoulututkinto,1590
107,Jyväskylän yliopisto,2018,Ylempi korkeakoulututkinto,1512
108,Lapin yliopisto,2018,Ylempi korkeakoulututkinto,486
109,Lappeenrannan–Lahden teknillinen yliopisto,2018,Ylempi korkeakoulututkinto,642
110,Oulun yliopisto,2018,Ylempi korkeakoulututkinto,1314
111,Svenska handelshögskolan,2018,Ylempi korkeakoulututkinto,312
112,Taideyliopisto,2018,Ylempi korkeakoulututkinto,258
113,Tampereen yliopisto,2018,Ylempi korkeakoulututkinto,2082
114,Turun yliopisto,2018,Ylempi korkeakoulututkinto,1806
115,Vaasan yliopisto,2018,Ylempi korkeakoulututkinto,543
116,Åbo Akademi,2018,Ylempi korkeakoulututkinto,480
117,Aalto-yliopisto,2019,Ylempi korkeakoulututkinto,1959
118,Helsingin yliopisto,2019,Ylempi korkeakoulututkinto,2700
